RAM 476/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [51%@2035,0%@2034,0%@2034,23%@2037,3%@2040,9%@2043] EMC_FREQ 2%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@49C MCPU@49C PMIC@50C Tboard@44C GPU@47.5C BCPU@49C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 914/914 VDD_4V0_WIFI 0/0 VDD_IN 4382/4382 VDD_SYS_CPU 914/914 VDD_SYS_DDR 1288/1288
RAM 564/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [39%@2032,0%@2035,0%@2035,79%@2034,5%@2036,8%@2035] EMC_FREQ 1%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/4668 VDD_SYS_CPU 1294/1104 VDD_SYS_DDR 1307/1297
RAM 738/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [72%@2032,0%@2034,0%@2034,100%@2035,4%@2037,3%@2035] EMC_FREQ 1%@1866 GR3D_FREQ 2%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.4C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5030/4788 VDD_SYS_CPU 1523/1243 VDD_SYS_DDR 1288/1294
RAM 877/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [76%@2031,0%@2035,0%@2036,100%@2038,14%@2042,5%@2042] EMC_FREQ 1%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.4C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5183/4887 VDD_SYS_CPU 1675/1351 VDD_SYS_DDR 1288/1292
RAM 963/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2033,0%@2034,0%@2035,100%@2029,1%@2032,0%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4878/4885 VDD_SYS_CPU 1599/1401 VDD_SYS_DDR 1250/1284
RAM 1024/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2029,0%@2035,0%@2034,100%@2032,2%@2033,1%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4840/4877 VDD_SYS_CPU 1599/1434 VDD_SYS_DDR 1250/1278
RAM 1087/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2035,100%@2038,1%@2038,0%@2041] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4840/4872 VDD_SYS_CPU 1599/1457 VDD_SYS_DDR 1250/1274
RAM 1149/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2033,0%@2036,0%@2035,100%@2036,0%@2041,0%@2041] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@47.9C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4840/4868 VDD_SYS_CPU 1599/1475 VDD_SYS_DDR 1250/1271
RAM 1211/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2033,0%@2035,0%@2034,100%@2038,1%@2042,0%@2044] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47C BCPU@48.5C thermal@47.9C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4840/4865 VDD_SYS_CPU 1599/1489 VDD_SYS_DDR 1250/1269
RAM 1273/7850MB (lfb 414x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2031,0%@2034,0%@2036,100%@2036,1%@2039,0%@2039] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4878/4866 VDD_SYS_CPU 1599/1500 VDD_SYS_DDR 1250/1267
RAM 1335/7850MB (lfb 408x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2035,100%@2029,0%@2032,0%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4840/4864 VDD_SYS_CPU 1599/1509 VDD_SYS_DDR 1250/1265
