RAM 476/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [69%@1997,0%@2028,0%@2037,2%@2034,11%@2036,2%@2036] EMC_FREQ 4%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@52.5C BCPU@53.5C thermal@53.1C Tdiode@52.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 914/914 VDD_4V0_WIFI 0/0 VDD_IN 4497/4497 VDD_SYS_CPU 990/990 VDD_SYS_DDR 1307/1307
RAM 572/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [29%@2027,0%@2036,0%@2034,7%@2025,8%@2028,86%@2028] EMC_FREQ 2%@1866 GR3D_FREQ 2%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5068/4782 VDD_SYS_CPU 1370/1180 VDD_SYS_DDR 1307/1307
RAM 761/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [16%@2030,0%@2034,0%@2036,4%@2024,62%@2025,100%@2030] EMC_FREQ 2%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54.5C MCPU@54.5C PMIC@50C Tboard@49C GPU@52.5C BCPU@54.5C thermal@53.7C Tdiode@52.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5297/4954 VDD_SYS_CPU 1599/1319 VDD_SYS_DDR 1346/1320
RAM 913/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [57%@2029,0%@2035,0%@2035,4%@2029,40%@2032,100%@2029] EMC_FREQ 1%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 5297/5039 VDD_SYS_CPU 1751/1427 VDD_SYS_DDR 1307/1316
RAM 975/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2036,0%@2036,2%@2031,0%@2032,100%@2032] EMC_FREQ 1%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5030 VDD_SYS_CPU 1675/1477 VDD_SYS_DDR 1269/1307
RAM 1038/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2036,0%@2035,2%@2033,0%@2033,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@52.5C BCPU@53.5C thermal@53.1C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/5017 VDD_SYS_CPU 1675/1510 VDD_SYS_DDR 1250/1297
RAM 1100/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2033,0%@2035,0%@2036,0%@2032,0%@2032,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.1C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/5008 VDD_SYS_CPU 1675/1533 VDD_SYS_DDR 1250/1290
RAM 1162/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2035,0%@2035,0%@2034,0%@2034,1%@2036,100%@2035] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/5006 VDD_SYS_CPU 1675/1551 VDD_SYS_DDR 1250/1285
RAM 1224/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2036,0%@2032,0%@2032,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@52.5C BCPU@53.5C thermal@53.2C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/5000 VDD_SYS_CPU 1675/1565 VDD_SYS_DDR 1250/1281
RAM 1287/7850MB (lfb 418x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2031,0%@2034,0%@2036,1%@2030,0%@2032,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.4C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4992/4999 VDD_SYS_CPU 1675/1576 VDD_SYS_DDR 1250/1278
RAM 1349/7850MB (lfb 408x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2035,0%@2028,0%@2030,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@52.5C BCPU@54C thermal@53.1C Tdiode@52.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/913 VDD_4V0_WIFI 0/0 VDD_IN 4954/4995 VDD_SYS_CPU 1675/1585 VDD_SYS_DDR 1250/1276
