RAM 478/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [50%@2036,0%@2034,0%@2036,18%@2034,5%@2036,13%@2035] EMC_FREQ 5%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55C BCPU@56C thermal@55.6C Tdiode@55C VDD_SYS_GPU 152/152 VDD_SYS_SOC 914/914 VDD_4V0_WIFI 0/0 VDD_IN 4535/4535 VDD_SYS_CPU 1066/1066 VDD_SYS_DDR 1307/1307
RAM 574/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [31%@2036,0%@2035,0%@2034,14%@2035,5%@2035,81%@2035] EMC_FREQ 3%@1866 GR3D_FREQ 1%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 990/952 VDD_4V0_WIFI 0/0 VDD_IN 5107/4821 VDD_SYS_CPU 1370/1218 VDD_SYS_DDR 1307/1307
RAM 745/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [24%@2028,0%@2035,0%@2034,4%@2027,54%@2031,99%@2028] EMC_FREQ 2%@1866 GR3D_FREQ 1%@522 APE 150 MTS fg 0% bg 0% PLL@56.5C MCPU@56.5C PMIC@50C Tboard@51C GPU@54.5C BCPU@56.5C thermal@55.4C Tdiode@54.75C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/939 VDD_4V0_WIFI 0/0 VDD_IN 5297/4979 VDD_SYS_CPU 1675/1370 VDD_SYS_DDR 1327/1313
RAM 913/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [57%@2035,0%@2035,0%@2034,5%@2034,32%@2034,100%@2035] EMC_FREQ 1%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/932 VDD_4V0_WIFI 0/0 VDD_IN 5335/5068 VDD_SYS_CPU 1751/1465 VDD_SYS_DDR 1307/1312
RAM 975/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2036,0%@2035,0%@2027,1%@2030,100%@2032] EMC_FREQ 1%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/928 VDD_4V0_WIFI 0/0 VDD_IN 5030/5060 VDD_SYS_CPU 1675/1507 VDD_SYS_DDR 1269/1303
RAM 1036/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2031,0%@2035,0%@2035,2%@2028,0%@2030,100%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/926 VDD_4V0_WIFI 0/0 VDD_IN 5030/5055 VDD_SYS_CPU 1675/1535 VDD_SYS_DDR 1250/1294
RAM 1099/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2031,0%@2035,0%@2034,1%@2030,0%@2030,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/924 VDD_4V0_WIFI 0/0 VDD_IN 5030/5052 VDD_SYS_CPU 1675/1555 VDD_SYS_DDR 1250/1288
RAM 1161/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2034,2%@2031,1%@2032,100%@2030] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@54.5C BCPU@55.5C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/922 VDD_4V0_WIFI 0/0 VDD_IN 5030/5049 VDD_SYS_CPU 1675/1570 VDD_SYS_DDR 1269/1285
RAM 1223/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2035,0%@2035,0%@2034,1%@2034,0%@2034,100%@2034] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.4C Tdiode@54.5C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/921 VDD_4V0_WIFI 0/0 VDD_IN 5030/5047 VDD_SYS_CPU 1675/1581 VDD_SYS_DDR 1250/1281
RAM 1285/7850MB (lfb 415x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2032,0%@2035,0%@2035,1%@2032,0%@2032,100%@2033] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@54.5C BCPU@56C thermal@55.1C Tdiode@54.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/920 VDD_4V0_WIFI 0/0 VDD_IN 4992/5041 VDD_SYS_CPU 1675/1591 VDD_SYS_DDR 1250/1278
RAM 1347/7850MB (lfb 405x4MB) SWAP 53/3925MB (cached 7MB) CPU [100%@2030,0%@2035,0%@2034,1%@2030,0%@2034,100%@2032] EMC_FREQ 0%@1866 GR3D_FREQ 0%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@54C BCPU@55.5C thermal@55.4C Tdiode@54.25C VDD_SYS_GPU 152/152 VDD_SYS_SOC 913/920 VDD_4V0_WIFI 0/0 VDD_IN 5030/5040 VDD_SYS_CPU 1675/1598 VDD_SYS_DDR 1250/1276
